Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
22711,STEM Magnet Academy,ISP,42,31,2387094,1863955,406,4591.01
63071,Urban Prep Chr Acd Yng Mn-West,,3,0,60398,0,0,0.0
63051,Chicago HS for Arts,Contract,6,0,177889,0,574,0.0
10845,"Magnet, Gifted and IB Programs",,7,0,626510,0,0,0.0
11371,Student Support and Engagement,,20,0,1305048,0,0,0.0
11551,Instructional Supports,,13,0,1235261,0,0,0.0
10871,STEM Programs,,20,0,1744838,0,0,0.0
13700,Literacy,,8,0,802240,0,0,0.0
10890,Arts,,6,0,496900,0,0,0.0
10895,Social and Emotional Learning,,10,0,798936,0,0,0.0
10850,Counseling & Pstsecondary Adv,,10,0,847516,0,0,0.0
10810,Office of Teaching & Learning,,6,0,483875,0,0,0.0
66113,U of C Chrt - Woodson Sth Camp,,2,0,20944,0,0,0.0
11110,Network Support,,26,0,2382081,0,0,0.0
10875,CW-Pathwys to Collge & Careers,,40,4,1927742,337844,0,0.0
10816,Chief Education Office,,5,0,628500,0,0,0.0
13610,Innovation and Incubation,,17,0,1111992,0,0,0.0
66031,KIPP - Create College Prep,,2,0,46934,0,0,0.0
27091,James Shields Middle School,Network 8,63,38,3953916,2972791,337,8821.33
11070,Talent Office - Citywide,,49,1,2676607,92726,0,0.0
46611,Sarah Goode HS,Network 16,95,64,6000507,4544556,985,4613.78
11385,City Wide Early Childhood,,22,0,1643684,0,0,0.0
66261,KIPP Ascend Charter School,,3,0,68471,0,0,0.0
46551,Back of the Yards,ISP,108,71,5801997,3932799,1068,3682.4
22611,William W Carter School,Network 9,39,21,2019901,1272936,245,5195.67
22671,Thomas Chalmers Specialty Sch,Network 5,45,27,2153576,1436789,187,7683.37
24751,Isabell C O'Keeffe School,Network 12,70,38,3393558,2118146,548,3865.24
24151,Leslie Lewis School,Network 3,51,31,2637479,1857485,356,5217.64
46641,Richard T Crane Med Tech HS,Network 15,54,34,3076743,2080726,308,6755.59
66112,U of C Chr-Woodlawn,Charter,5,0,109388,0,684,0.0
66691,Intrinsic Schools Charter,Charter,6,0,138992,0,959,0.0
63141,Chicago Excel/Camelot,,3,0,57755,0,0,0.0
10855,Counseling and Postsecondary Advising - City Wide,,39,0,2163325,0,0,0.0
2411,Network 1,,11,0,835208,0,0,0.0
2421,Network 2,,10,0,871010,0,0,0.0
2431,Network 3,,14,0,1012892,0,0,0.0
2441,Network 4,,11,0,884850,0,0,0.0
2451,Network 5,,11,0,1007096,0,0,0.0
2461,Network 6,,11,0,1124543,0,0,0.0
2471,Network 7,,10,0,971377,0,0,0.0
2481,Network 8,,11,0,841403,0,0,0.0
2511,Network 11,,13,0,1110594,0,0,0.0
2521,Network 12,,10,0,962307,0,0,0.0
2531,Network 13,,11,0,1124791,0,0,0.0
2491,Network 9,,11,0,948058,0,0,0.0
2501,Network 10,,12,0,964732,0,0,0.0
11674,Diverse Lrn Quality Instruct,,73,0,5745087,0,0,0.0
26301,Ronald E Mcnair Academic Cente,Network 3,71,31,3406796,1875642,296,6336.61
23451,Walter Q Gresham Elementary SchoolÂ of Excellence,Network 11,44,23,2203291,1303233,292,4463.11
26051,Anton Dvorak Specialty Academy,Network 7,50,25,2162575,1273660,263,4842.81
11405,Computer Science,,17,4,1050495,185645,0,0.0
10870,College and Career Success Off,,4,0,437875,0,0,0.0
49121,Little Village Multiplex,,3,1,200712,92948,0,0.0
63181,Horizon Science Academy-Southw,Charter,4,0,82172,0,735,0.0
66941,Foundations College Prep,,2,0,39384,0,0,0.0
10406,Freedom of Information Act Off,,5,0,300000,0,0,0.0
66951,Great Lakes Academy,,2,0,46989,0,0,0.0
11810,Finance,,5,0,620625,0,0,0.0
66091,North Lawndale Chtr-Christiana,Charter,4,0,132875,0,252,0.0
46681,Walter Henri Dyett High School,Network 17,47,28,2705223,1782895,526,3389.53
66255,ASPIRA Business/Finance Chrtr,Charter,3,0,92948,0,417,0.0
66618,YCCS-Jane Addams Alt HS,,2,0,29096,0,0,0.0
22631,Southeast Area School,Network 13,61,42,3643335,2864358,627,4568.35
10813,Soc Science & Civic Engagement,,13,0,854000,0,0,0.0
10825,Dept. of Personalized Learning,,12,0,974227,0,0,0.0
66107,YCCS-McKinley-Lakeside HS,,2,0,40880,0,0,0.0
66591,Montessori Schl-Englwd Chrtr,,2,0,40880,0,0,0.0
13727,CW - Early College and Career,,22,4,981624,289224,0,0.0
10898,CW Social and Emotional Lrning,,21,0,1592413,0,0,0.0
63144,Excel Academy Southwest,,1,0,21432,0,0,0.0
66629,YCCS-Youth Connection Acad HS,,2,0,38303,0,0,0.0
66617,YCCS-Innovations of Art Integr,,2,0,45438,0,0,0.0
66623,YCCS-Sullivan House Alt HS,,2,0,31148,0,0,0.0
66627,YCCS-West Town Acad Alt HS,,1,0,24494,0,0,0.0
14010,Chief Administrative Officer,,1,0,170000,0,0,0.0
63021,Plato Learning Academy,,3,0,56255,0,0,0.0
63143,Excel Academy of Woodlawn,,1,0,21432,0,0,0.0
66631,YCCS-Chatham Academy,,2,0,48430,0,0,0.0
10415,Chief Operating Officer,,2,0,353000,0,0,0.0
26181,Bronzeville Classical,Network 9,20,10,1177769,677449,455,1488.88
23521,Sor Juana Ines de la Cruz ES,Network 8,19,11,1263682,838592,542,1547.2
10760,Student Protections/Title IX,,21,0,1548000,0,0,0.0
2671,Network 17,,3,0,307175,0,0,0.0
